iter	Passed	Remaining
404	7708	1808
405	7728	1789
406	7748	1770
407	7767	1751
408	7787	1732
409	7806	1713
410	7825	1694
411	7843	1675
412	7861	1656
413	7883	1637
414	7904	1618
415	7923	1599
416	7944	1581
417	7965	1562
418	7985	1543
419	8004	1524
420	8023	1505
421	8041	1486
422	8060	1467
423	8081	1448
424	8101	1429
425	8121	1410
426	8140	1391
427	8160	1372
428	8179	1353
429	8198	1334
430	8216	1315
431	8234	1296
432	8254	1277
433	8273	1258
434	8292	1239
435	8310	1219
436	8331	1201
437	8350	1181
438	8369	1162
439	8390	1144
440	8408	1124
441	8427	1105
442	8445	1086
443	8463	1067
444	8486	1048
445	8504	1029
446	8525	1010
447	8543	991
448	8564	972
449	8584	953
450	8602	934
451	8622	915
452	8641	896
453	8659	877
454	8680	858
455	8700	839
456	8720	820
457	8740	801
458	8760	782
459	8780	763
460	8798	744
461	8816	725
462	8837	706
463	8857	687
464	8881	668
465	8902	649
466	8922	630
467	8943	611
468	8964	592
469	8985	573
470	9007	554
471	9028	535
472	9048	516
473	9067	497
474	9091	478
475	9109	459
476	9128	440
477	9146	420
478	9166	401
479	9186	382
480	9204	363
481	9224	344
482	9242	325
483	9262	306
484	9283	287
485	9300	267
486	9319	248
487	9338	229
488	9356	210
489	9377	191
490	9395	172
491	9414	153
492	9432	133
493	9450	114
494	9473	95
495	9493	76
496	9515	57
497	9534	38
498	9555	19
499	9577	0
