iter	Logloss
0	0.6582368396
1	0.6287454536
2	0.6032412714
3	0.5801775673
4	0.5604438152
5	0.5436763859
6	0.52966334
7	0.5173726722
8	0.5070110533
9	0.4976848765
10	0.4890978351
11	0.4803076155
12	0.4725337218
13	0.4659891748
14	0.4602961145
15	0.4565578984
16	0.4525875282
17	0.4480444694
18	0.4445954845
19	0.4413443984
20	0.4383634388
21	0.4353499795
22	0.4329781879
23	0.4314580425
24	0.4300804985
25	0.4277477663
26	0.4269896343
27	0.425490008
28	0.4236132666
29	0.4221252375
30	0.4202252785
31	0.4195284712
32	0.4180465803
33	0.416872775
34	0.4161912398
35	0.4148148655
36	0.4145099451
37	0.4139833348
38	0.4129464128
39	0.4123628663
40	0.4111478202
41	0.4100714618
42	0.4091462611
43	0.4085832846
44	0.4077706696
45	0.4069184603
46	0.4060820291
47	0.4050259127
48	0.4044798039
49	0.4043959275
50	0.4042320535
51	0.4041199724
52	0.403434348
53	0.4028885598
54	0.4022993529
55	0.4015805113
56	0.4008974161
57	0.4004877546
58	0.399867124
59	0.3996109772
60	0.3991256659
61	0.3987172815
62	0.3983182617
63	0.3978393347
64	0.3974531494
65	0.3970100636
66	0.3968446476
67	0.3962128695
68	0.395664417
69	0.3955276508
70	0.3951928381
71	0.3951047268
72	0.3947561233
73	0.3946853724
74	0.3940740686
75	0.3938223351
76	0.3935565638
77	0.3933156833
78	0.3929357547
79	0.392724142
80	0.3925449163
81	0.3922407189
82	0.3918319043
83	0.391427792
84	0.3913959608
85	0.3912596242
86	0.3909408776
87	0.3903247215
88	0.3899911999
89	0.3896687305
90	0.3893477494
91	0.3891554828
92	0.3890051424
93	0.3889263619
94	0.3885654483
95	0.3884030154
96	0.3882248241
97	0.3881444236
98	0.3879548082
99	0.38790717
100	0.3875371251
101	0.3875127007
102	0.3870868358
103	0.3869874692
104	0.3869712236
105	0.3869514219
106	0.3868841434
107	0.3868462809
108	0.3864147564
109	0.3863490835
110	0.3861877849
111	0.385989962
112	0.3858456978
113	0.3855108461
114	0.3851836014
115	0.3851830533
116	0.3851643522
117	0.3850850256
118	0.384958779
119	0.3846916261
120	0.3843727622
121	0.3842267424
122	0.3842254972
123	0.3839429714
124	0.3839227943
125	0.3839227778
126	0.383695666
127	0.3836829468
128	0.3836745158
129	0.3832600993
130	0.3832414242
131	0.3829842984
132	0.3829792493
133	0.3826057008
134	0.3824699083
135	0.3823594842
136	0.3822986693
137	0.3820147307
138	0.3816879589
139	0.3814752365
140	0.3814264241
141	0.3811881983
142	0.3809954461
143	0.3809810914
144	0.3809794048
145	0.3807460182
146	0.3805603
147	0.380457356
148	0.3801890094
149	0.3800039845
150	0.3799788999
151	0.3798397919
152	0.3795436703
153	0.3792625302
154	0.3789500081
155	0.378834433
156	0.3786737378
157	0.3783898974
158	0.3781517485
159	0.3776881871
160	0.3776722863
161	0.3775696309
162	0.3775630557
163	0.3773141508
164	0.3770568264
165	0.3769156978
166	0.3768548295
167	0.376854596
168	0.3766432676
169	0.3765920839
170	0.3762603827
171	0.3760006272
172	0.3756926607
173	0.3755265761
174	0.3753334735
175	0.3751231153
176	0.374842707
177	0.3746336601
178	0.374427304
179	0.3740529175
180	0.3738898988
181	0.3737404595
182	0.3735010188
183	0.373355701
184	0.3731002227
185	0.3728678523
